Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1661356332,50,GET,users-docker,19.000000,0.000000,600,720,770,830,1000,1200,2100,3700,4000,4000,4000,786,0,390.0,497.90541895674323,27.584099999998557,4574.3349,2.0
1661356332,50,GET,users-pythonanywhere,0.300000,0.000000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18,0,10000.0,11074.827855555557,5330.935,18129.071999999996,28519.0
1661356332,50,,Aggregated,36.800000,0.000000,630,740,820,850,1100,2000,17000,18000,18000,18000,18000,1566,0,400.0,792.7122084929755,27.206500000000133,18189.2356,941.5229885057471
1661356337,50,GET,orders-docker,16.500000,0.000000,660,750,820,890,1100,1100,1600,1700,1800,1800,1800,820,0,410.0,480.1973767073176,27.206500000000133,4024.695300000001,2.0
1661356337,50,GET,orders-pythonanywhere,0.800000,0.000000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,31,0,12000.0,12420.080506451613,4212.772800000002,18217.081200000004,35483.0
1661356337,50,GET,users-docker,19.500000,0.000000,640,760,840,880,1000,1100,1500,2000,2200,2200,2200,874,0,430.0,520.0720097254007,27.584099999998557,4574.3349,2.0
1661356337,50,GET,users-pythonanywhere,0.600000,0.000000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000,23,0,13000.0,12514.864226086958,5330.935,18593.004300000004,28519.0
1661356337,50,,Aggregated,37.400000,0.000000,660,780,860,930,1100,2000,18000,18000,19000,19000,19000,1748,0,440.0,870.2340722540038,27.206500000000133,18593.004300000004,1006.4633867276888
1661356342,50,GET,orders-docker,17.500000,0.000000,680,800,930,1000,1200,1700,1900,2000,2100,2100,2100,900,0,450.0,509.32228277777796,27.206500000000133,4024.695300000001,2.0
1661356342,50,GET,orders-pythonanywhere,0.700000,0.000000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000,33,0,12000.0,12725.323636363639,4212.772800000002,19002.735699999994,35483.0
1661356342,50,GET,users-docker,17.500000,0.000000,690,820,880,980,1200,1700,2000,2200,2600,2600,2600,944,0,450.0,542.5469920550848,27.584099999998557,4574.3349,2.0
1661356342,50,GET,users-pythonanywhere,0.900000,0.000000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000,29,0,13000.0,13273.43515172414,5330.935,18593.004300000004,28519.0
1661356342,50,,Aggregated,36.600000,0.000000,700,850,1000,1100,1700,13000,18000,18000,19000,19000,19000,1906,0,470.0,931.4898816369355,27.206500000000133,19002.735699999994,1050.1983210912906
1661356347,50,GET,orders-docker,15.700000,0.000000,850,990,1100,1200,1400,1600,1900,2000,2100,2100,2100,963,0,490.0,538.010729075805,27.206500000000133,4024.695300000001,2.0
1661356347,50,GET,orders-pythonanywhere,0.600000,0.000000,16000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,36,0,12000.0,13088.272788888891,4212.772800000002,19358.4752,35483.0
1661356347,50,GET,users-docker,15.700000,0.000000,790,890,1100,1100,1300,1700,2000,2200,2600,2600,2600,1021,0,490.0,566.3977073457391,27.584099999998557,4574.3349,2.0
1661356347,50,GET,users-pythonanywhere,1.100000,0.000000,16000,16000,16000,16000,18000,19000,19000,19000,19000,19000,19000,34,0,13000.0,13416.173132352944,5330.935,18593.004300000004,28519.0
1661356347,50,,Aggregated,33.100000,0.000000,830,1000,1100,1200,1700,13000,16000,18000,19000,19000,19000,2054,0,500.0,985.260028334956,27.206500000000133,19358.4752,1095.9113924050632
1661356352,50,GET,orders-docker,12.700000,0.000000,960,1100,1200,1200,1300,1400,1400,1400,1500,1500,1500,1028,0,510.0,565.8291395914401,27.206500000000133,4024.695300000001,2.0
1661356352,50,GET,orders-pythonanywhere,0.500000,0.000000,15000,16000,16000,16000,19000,19000,19000,19000,19000,19000,19000,41,0,14000.0,13354.892631707318,4212.772800000002,19358.4752,35483.0
1661356352,50,GET,users-docker,13.500000,0.000000,880,1000,1100,1200,1300,1400,1500,1900,2200,2200,2200,1084,0,520.0,590.007537730627,27.584099999998557,4574.3349,2.0
1661356352,50,GET,users-pythonanywhere,1.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,36,0,14000.0,13516.80136666667,5330.935,18593.004300000004,28519.0
1661356352,50,,Aggregated,27.900000,0.000000,940,1100,1200,1200,1400,13000,15000,16000,19000,19000,19000,2189,0,530.0,1030.3316461854724,27.206500000000133,19358.4752,1135.5463682046598
1661356357,50,GET,orders-docker,13.000000,0.000000,920,1000,1100,1200,1300,1600,1800,1900,2000,2000,2000,1102,0,540.0,588.6959128856627,27.206500000000133,4024.695300000001,2.0
1661356357,50,GET,orders-pythonanywhere,1.000000,0.000000,16000,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,46,0,15000.0,13677.656819565216,4212.772800000002,19358.4752,35483.0
1661356357,50,GET,users-docker,13.900000,0.000000,840,990,1000,1100,1200,1300,2000,2100,2200,2200,2200,1164,0,540.0,607.1347957044671,27.584099999998557,4574.3349,2.0
1661356357,50,GET,users-pythonanywhere,0.500000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,38,0,14000.0,13636.75095263158,5330.935,18593.004300000004,28519.0
1661356357,50,,Aggregated,28.400000,0.000000,900,1000,1100,1200,1400,2200,16000,16000,17000,17000,17000,2350,0,550.0,1065.0283183404251,27.206500000000133,19358.4752,1157.647659574468
1661356362,50,GET,orders-docker,15.200000,0.000000,590,770,880,950,1200,1600,1800,1900,2000,2000,2000,1214,0,530.0,587.654771334432,27.206500000000133,4024.695300000001,2.0
